Date,Close,Volume,Open,High,Low
07/13/2023,$107.84,6692257,$109.07,$109.13,$107.68
07/12/2023,$107.76,8305044,$108.525,$109.09,$107.22
07/11/2023,$107.39,5457205,$105.65,$107.62,$105.62
07/10/2023,$105.78,5374580,$104.48,$106.31,$104.25
07/07/2023,$104.46,7463086,$104.80,$105.47,$104.03
07/06/2023,$105.10,9929226,$105.29,$106.09,$103.67
07/05/2023,$107.10,10410550,$108.62,$108.905,$106.535
07/03/2023,$109.11,5734199,$111.06,$111.30,$109.11
06/30/2023,$110.37,19629590,$111.59,$112.25,$109.799
06/29/2023,$113.37,12465530,$113.60,$114.27,$112.61
06/28/2023,$113.03,6765974,$113.34,$113.745,$112.12
06/27/2023,$113.61,7138587,$112.53,$114.18,$112.43
06/26/2023,$111.74,6887058,$109.67,$112.21,$109.67
06/23/2023,$109.52,14329240,$107.75,$110.29,$107.30
06/22/2023,$110.46,6003494,$110.82,$111.25,$109.78
06/21/2023,$109.98,8377812,$109.13,$110.36,$108.71
06/20/2023,$109.54,10606880,$111.41,$112.815,$108.96
06/16/2023,$113.59,14445510,$114.00,$114.76,$113.06
06/15/2023,$112.41,10374200,$111.83,$112.815,$110.155
06/14/2023,$112.86,17415460,$107.48,$113.40,$107.48
06/13/2023,$106.78,8460508,$107.14,$107.4752,$106.2935
06/12/2023,$106.83,7965771,$106.29,$106.85,$104.60
06/09/2023,$105.86,5796002,$105.91,$106.28,$105.35
06/08/2023,$106.20,9139448,$107.16,$107.52,$105.67
06/07/2023,$107.09,11123900,$106.04,$108.24,$105.42
06/06/2023,$106.19,7896257,$105.49,$106.75,$105.20
06/05/2023,$105.20,7434017,$107.88,$107.5601,$105.18
06/02/2023,$107.78,11838230,$107.63,$108.42,$106.13
06/01/2023,$103.63,12025210,$104.18,$104.60,$102.90
05/31/2023,$105.26,21465160,$105.70,$106.17,$104.83
05/30/2023,$106.52,9335188,$108.40,$108.88,$106.2677
05/26/2023,$107.51,7911202,$107.00,$108.45,$107.00
05/25/2023,$107.48,6729847,$108.35,$108.9708,$107.42
05/24/2023,$108.29,8503192,$109.00,$109.10,$107.2016
05/23/2023,$108.78,11790410,$109.77,$111.06,$108.1871
05/22/2023,$110.18,12710290,$112.85,$112.85,$110.02
05/19/2023,$114.76,11674270,$114.56,$115.49,$113.10
05/18/2023,$118.87,5970500,$117.43,$119.145,$116.85
05/17/2023,$116.98,7765386,$116.38,$117.13,$115.25
05/16/2023,$116.48,8307929,$117.50,$117.8392,$116.12
05/15/2023,$119.83,5518188,$119.82,$119.99,$118.005
05/12/2023,$120.21,6574233,$120.99,$121.1953,$119.03
05/11/2023,$122.22,5923069,$123.45,$123.86,$121.90
05/10/2023,$123.51,5052636,$126.29,$126.455,$122.17
05/09/2023,$125.10,4082170,$125.27,$125.66,$124.17
05/08/2023,$126.88,3892645,$127.26,$127.69,$125.975
05/05/2023,$126.59,4887759,$125.93,$127.0283,$125.22
05/04/2023,$123.67,6177127,$124.94,$125.185,$122.82
05/03/2023,$126.74,4560081,$125.49,$128.38,$123.67
05/02/2023,$127.26,3831644,$127.15,$127.58,$125.165
05/01/2023,$127.92,4112782,$126.92,$128.68,$126.86
04/28/2023,$126.72,4421419,$125.15,$127.07,$124.96
04/27/2023,$125.70,4252135,$124.44,$126.01,$123.14
04/26/2023,$123.84,4003190,$124.21,$124.98,$123.29
04/25/2023,$124.66,4383342,$126.53,$126.77,$124.05
04/24/2023,$127.09,3790923,$125.51,$127.13,$125.145
04/21/2023,$125.53,3651389,$124.40,$125.68,$123.62
04/20/2023,$124.45,3891706,$124.80,$125.3513,$123.7085
04/19/2023,$125.67,3547598,$126.00,$126.075,$124.92
04/18/2023,$126.21,3857914,$127.23,$127.28,$125.015
04/17/2023,$126.19,3917912,$126.03,$126.48,$125.13
04/14/2023,$125.95,4828882,$127.00,$127.49,$125.49
04/13/2023,$126.43,5355297,$124.64,$126.6714,$124.46
04/12/2023,$123.66,4525132,$124.76,$124.8625,$123.221
04/11/2023,$123.30,4470956,$122.04,$124.08,$122.04
04/10/2023,$121.91,3731236,$119.30,$121.91,$119.13
04/06/2023,$120.22,4256901,$119.51,$120.49,$117.85
04/05/2023,$120.90,4331407,$123.00,$123.33,$120.56
04/04/2023,$123.69,5895258,$121.38,$123.945,$121.36
04/03/2023,$121.67,4838399,$122.50,$122.85,$120.82
03/31/2023,$122.64,5659422,$120.92,$122.71,$120.60
03/30/2023,$120.10,4578912,$121.03,$121.44,$119.335
03/29/2023,$120.49,5644018,$118.64,$120.57,$118.49
03/28/2023,$117.87,4461446,$117.95,$118.44,$116.85
03/27/2023,$117.81,6564242,$121.02,$121.07,$117.61
03/24/2023,$120.71,6163391,$120.23,$121.00,$119.315
03/23/2023,$120.97,7628073,$120.47,$123.27,$119.465
03/22/2023,$119.50,17625500,$123.66,$125.26,$119.33
03/21/2023,$125.61,15078780,$123.50,$126.06,$122.97
03/20/2023,$121.20,7594101,$120.99,$122.68,$119.81
03/17/2023,$120.39,12868910,$121.17,$121.73,$118.67
03/16/2023,$120.65,5661422,$116.86,$120.81,$116.6101
03/15/2023,$118.17,6599249,$116.32,$118.625,$115.81
03/14/2023,$119.00,6050822,$119.00,$119.49,$117.23
03/13/2023,$116.86,6038216,$115.82,$118.29,$115.79
03/10/2023,$117.49,5979635,$118.83,$118.99,$116.64
03/09/2023,$117.87,5635879,$120.08,$121.86,$117.55
03/08/2023,$119.86,4175226,$119.27,$120.04,$118.73
03/07/2023,$119.59,5345746,$120.20,$121.02,$119.23
03/06/2023,$120.17,5183814,$121.13,$121.99,$119.955
03/03/2023,$120.94,3871822,$120.13,$121.04,$119.02
03/02/2023,$119.58,4443207,$117.55,$119.96,$117.55
03/01/2023,$118.58,4120488,$117.95,$119.79,$117.83
02/28/2023,$118.79,8414063,$118.74,$120.40,$117.845
02/27/2023,$118.53,4240017,$119.26,$119.82,$118.32
