nike_id,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
159,08/21/23,105.470000,105.480000,102.630000,102.860000,6697559.000000,103.210000,107233,-0.018610,-328.420000
160,08/22/23,100.960000,102.370000,100.730000,101.460000,9820097.000000,101.480000,130737,-0.013610,-235.790000
161,08/23/23,96.980000,99.190000,96.540000,98.750000,20909068.000000,97.960000,229163,-0.026710,-456.420000
162,08/24/23,98.700000,99.190000,97.560000,97.630000,10297036.000000,98.210000,121911,-0.011340,-188.630000
163,08/25/23,98.500000,99.090000,97.810000,98.840000,7290611.000000,98.540000,105529,0.012390,203.790000
164,08/28/23,99.590000,100.060000,98.860000,99.630000,6006590.000000,99.490000,78271,0.007990,133.050000
165,08/29/23,100.030000,102.160000,99.720000,101.770000,8641614.000000,101.280000,92814,0.021480,360.420000
166,08/30/23,101.640000,102.810000,101.510000,102.100000,4822098.000000,102.210000,74349,0.003240,55.580000
167,08/31/23,102.620000,102.890000,101.610000,101.710000,7046219.000000,101.950000,81037,-0.003820,-65.680000
168,09/01/23,101.970000,102.960000,101.520000,102.360000,6235599.000000,102.260000,86823,0.006390,109.470000
169,09/05/23,101.500000,101.960000,100.220000,100.320000,6698665.000000,100.690000,97495,-0.019930,-343.580000
170,09/06/23,99.760000,100.300000,99.030000,100.180000,6096014.000000,99.830000,87845,-0.001400,-23.580000
171,09/07/23,98.260000,98.760000,97.640000,97.930000,9927060.000000,98.230000,112994,-0.022460,-378.950000
172,09/08/23,98.100000,98.130000,97.280000,97.670000,6435533.000000,97.610000,86356,-0.002650,-43.790000
173,09/11/23,98.330000,98.380000,96.580000,96.790000,7584681.000000,97.140000,105875,-0.009010,-148.210000
174,09/12/23,96.990000,97.170000,96.180000,96.300000,6307698.000000,96.510000,96510,-0.005060,-82.530000
175,09/13/23,96.300000,97.200000,95.660000,96.130000,7140729.000000,96.300000,109974,-0.001770,-28.630000
176,09/14/23,96.720000,97.680000,95.900000,97.190000,7075271.000000,96.970000,92881,0.011030,178.530000
177,09/15/23,98.150000,98.150000,96.130000,96.260000,10467337.000000,96.700000,84624,-0.009570,-156.630000
178,09/18/23,96.000000,96.370000,95.280000,95.510000,6946299.000000,95.650000,92879,-0.007790,-126.320000
179,09/19/23,95.040000,95.490000,94.410000,94.620000,9390096.000000,94.750000,96764,-0.009320,-149.890000
180,09/20/23,93.970000,95.400000,93.830000,94.040000,10274669.000000,94.560000,98120,-0.006130,-97.680000
181,09/21/23,93.420000,93.490000,91.480000,91.590000,7960552.000000,92.300000,108292,-0.026050,-412.630000
182,09/22/23,91.580000,92.330000,90.550000,90.850000,9292847.000000,91.190000,106485,-0.008080,-124.630000
183,09/25/23,90.000000,90.850000,89.790000,90.600000,8291657.000000,90.480000,99184,-0.002750,-42.110000
184,09/26/23,90.000000,90.700000,89.780000,90.170000,8060479.000000,90.270000,109387,-0.004750,-72.420000
185,09/27/23,90.560000,90.700000,89.200000,89.420000,7613009.000000,89.620000,97764,-0.008320,-126.320000
186,09/28/23,89.100000,89.780000,88.660000,89.630000,16315559.000000,90.730000,163276,0.002350,35.370000
187,09/29/23,99.370000,99.470000,94.620000,95.620000,34910792.000000,96.300000,345989,0.066830,1008.840000
188,10/02/23,96.200000,96.380000,93.730000,94.560000,12776338.000000,94.530000,148125,-0.011090,-178.530000
189,10/03/23,94.320000,96.050000,94.180000,95.090000,10964320.000000,95.040000,121789,0.005600,89.260000
190,10/04/23,95.580000,96.260000,95.120000,95.890000,8038793.000000,95.740000,100455,0.008410,134.740000
191,10/05/23,95.790000,96.230000,95.280000,95.790000,7364782.000000,95.790000,92230,-0.001040,-16.840000
192,10/06/23,95.790000,97.710000,95.060000,97.110000,8532939.000000,96.790000,111185,0.013780,222.320000
